State,Sex,Year,Name,Occurrence,,,,
CA,F,1910,Mary,295,,,,
CA,F,1910,Helen,239,,,,
CA,F,1910,Dorothy,220,,,,
CA,F,1910,Margaret,163,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
